2008 SteinhöfelDie Mitte der Welt,", einen zerknitterten Brief aus irgendeiner der vier Ecken
 der",Welt,". Gable schrieb, er habe Wale beobachten
 können,",0,
2008 SteinhöfelDie Mitte der Welt,"ragten
, und er habe ihrem Gesang gelauscht. Die",Welt,"sei gewaltig, wir Menschen und unsere Probleme klein
 und",0,
2008 SteinhöfelDie Mitte der Welt,"lange Spaziergänge
, immer ohne Dianne. Ich entdeckte
 die",Welt,"und meine Stellung darin neu. Menschen, die ich",0,
2008 SteinhöfelDie Mitte der Welt,"Nachthemd gegeben
 habe, Phil? Niemandem sonst auf
 der",Welt,…« Vielleicht entspricht das der Wahrheit. Vielleicht hatte,0,
2008 SteinhöfelDie Mitte der Welt,"Takt seines Laufens unbeirrt, wie im Gleichklang mit
 der",Welt,". Unter dem Regen
 hat die Aschenbahn ihre rostrote Färbung",0,
2008 SteinhöfelDie Mitte der Welt,"aus
 dem Fenster
gestarrt
 und dabei zugesehen
, wie die",Welt,"immer größer
 wurde, der Himmel
 immer höher
. Es",0,
2008 SteinhöfelDie Mitte der Welt,"mich haben wollte. Ich wollte etwas sehen
von
 der",Welt,". Vor allem aber wollte ich Freiheit
, und Freiheit",0,
2008 SteinhöfelDie Mitte der Welt,"den offenen
Blick
über
 das Meer
. Nichts auf
 der",Welt,kann dir die Illusion von Grenzenlosigkeit besser vermitteln als der,0,
2008 SteinhöfelDie Mitte der Welt,"wählte, mit denen Stella den weiten
Blick
auf
 die",Welt,"beschrieben hatte, den Visible ihr bot. Von Glass",0,
2008 SteinhöfelDie Mitte der Welt,"; inmitten
 eines plötzlich expandierten Universums war die mir vertraute",Welt,"zusammengeschrumpft zu einem winzigen
, kaum nadelstichgroßen Fleck
auf
 einer",0,
2008 SteinhöfelDie Mitte der Welt,", und machte so auf seine eigene launische Art die",Welt,"für mich um ein Wunder ärmer.

Gable konnte Stunden",0,
2008 SteinhöfelDie Mitte der Welt,"Teichs
. Gable hatte Recht gehabt: Keine Zeit der",Welt,"wäre genug gewesen.

Ich bedauerte, dass ich nichts",0,
2008 SteinhöfelDie Mitte der Welt,"darauf verwendet, sich mit einem Mikrokosmos der Flora dieser",Welt,", soweit sie in
 unserem Klima
 gedeiht, zu umgeben",0,
2008 SteinhöfelDie Mitte der Welt,"Ich war überrascht, wie anders der Höhenunterschied mich die",Welt,"wahrnehmen
 ließ. Da war der terrassenartige Friedhof, scheinbar",0,
2008 SteinhöfelDie Mitte der Welt,"der Mittagssonne
, und ich war der stolzeste Reiter der",Welt,", ich warf
in
 stillem Jubel die Arme
hoch
.",0,
2008 SteinhöfelDie Mitte der Welt,"trocken, »können sie mit etwas Glück aus
 der",Welt,"schaffen
, was sie sich mit ihrer gesteigerten Anziehungskraft eingebrockt",0,
2008 SteinhöfelDie Mitte der Welt,"Hier schwirren mehr Bakterien herum
 als irgendwo
 sonst auf
 der",Welt,"!«

Das erzählt Glass, seit ich mich erinnern",0,
2008 SteinhöfelDie Mitte der Welt,"lag
da
 wie gestorben, oder als versuche sie die",Welt,"zu umarmen
. Manchmal klammerten sich schillernde Käfer
 wie eingeflochtene",0,
2008 SteinhöfelDie Mitte der Welt,"war sie ein Teenager, als sie euch in
 die",Welt,"gesetzt hat.«

»Ja.«

»Wo",0,
2008 SteinhöfelDie Mitte der Welt,"von
Postkarten
, die er mir aus
 allen Ecken
 der",Welt,"geschickt hat. Den meisten Platz
nehmen
 die beiden großen",0,
2008 SteinhöfelDie Mitte der Welt,"Gibt zu wenig davon, zu wenig Liebe auf
 der",Welt,". Alle sollten Liebe machen, meine Meinung, die",0,
2008 SteinhöfelDie Mitte der Welt,"»Für die Liebe, für die Liebe auf
 der",Welt,"!« Ich hätte mich zu gern auf
 seinen Schoß",0,
2008 SteinhöfelDie Mitte der Welt,"musste schon alt gewesen sein, bevor Glass auf
 die",Welt,"kam
, vielleicht war er schon alt gewesen, als",0,
2008 SteinhöfelDie Mitte der Welt,"Wenn Herr Tröht nicht den Mangel an Liebe in
 der",Welt,"beklagte, erzählte er vom Krieg
. »Bie-dwen-diähts«",0,
2008 SteinhöfelDie Mitte der Welt,"’s, es gibt zu wenig Liebe auf
 der",Welt,".«

Wie bei allen Männern, so starrte
 ich",0,
2008 SteinhöfelDie Mitte der Welt,"Modegeschäft öffnete
 seine Pforten
, und für mich war die",Welt,"um einen Zauber ärmer. Ich fragte mich, wo",0,
2008 SteinhöfelDie Mitte der Welt,"ein von winzigen Zinnen gekrönter Klecks am anderen Ende
 der",Welt,". Ich war bislang nur einmal hier
, an einem",0,
2008 SteinhöfelDie Mitte der Welt,"einem sommerhellen Tag, als kleiner
 Knirps, der seine",Welt,"und ihre engen
Grenzen
 mit dem Fahrrad erkundete. Falls",0,
2008 SteinhöfelDie Mitte der Welt,"er würde es auch dann noch regieren, wenn die",Welt,keine Menschen mehr brauchte. Daher befahl der Regent dem,0,
2008 SteinhöfelDie Mitte der Welt,"dass man sich kaum vorstellen konnte, wo auf
 der",Welt,"es eine so dünne
Feder
geben
 sollte, sie damit",0,
2008 SteinhöfelDie Mitte der Welt,"wenn wir miteinander
 lachen oder reden über Gott und die",Welt,", in
 seinem Inneren
 eine Lochkarte
 stanzen, die er",0,
2008 SteinhöfelDie Mitte der Welt,"es, dass es die mittlere Schwester drängte, die",Welt,"zu sehen
. Jeden Tag ging
 sie hinauf auf
 den",0,
2008 SteinhöfelDie Mitte der Welt,"einem der ins
Dach
 gelassenen Fenster
hinaussah
, auf
 die",Welt,"hinter
 dem Zaun
 und auf das Leben jenseits
 des Krieges",0,
2008 SteinhöfelDie Mitte der Welt,"und sauge die mir entgegenschwappende kalte Luft
ein
. Die",Welt,"diesseits und jenseits
 des Flusses
versteckt
 sich unter
 einem fein",0,
2008 SteinhöfelDie Mitte der Welt,"Mann wie ihn in
 diese triste Kleinstadt
 am Ende der",Welt,"verschlagen hat. Vielleicht ein überentwickelter Missionstrieb.

Im
Bus",0,
2008 SteinhöfelDie Mitte der Welt,"sie Recht. Holland
liegt
 nicht am anderen Ende
 der",Welt,". Wir werden einander
besuchen
 können, wir werden telefonieren",0,
2008 SteinhöfelDie Mitte der Welt,"vorstellen, erst mal eine Weile mit Gable durch
 die",Welt,"zu schippern.«

»Ich bin gespannt darauf,",0,
2008 SteinhöfelDie Mitte der Welt,", aus
 denen einst historische Persönlichkeiten werden, die der",Welt,"ihren Stempel
aufdrücken
, werden nicht bei
Blitz
 und Donner",0,
2008 SteinhöfelDie Mitte der Welt,"Bahnbrechende Entdeckungen werden gemacht, und an
 keinem Ort
 der",Welt,"blüht im selben Moment eine besonders schöne Blume
auf
.",0,
2008 SteinhöfelDie Mitte der Welt,"vor Überraschung. Es gibt nur einen Jungen auf
 der",Welt,", der mir dieses Messer
entgegenhalten
 würde. Vielleicht hätte",0,
